Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PTS_avg_3,PTS_avg_5,FG_PCT_avg_3,FG_PCT_avg_5,AST_avg_3,AST_avg_5,TOV_avg_3,TOV_avg_5
1610612746,22300074,2023-10-25,LAC vs. POR,W,1,0,1.0,240,47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,17,20,123,,,,,,,,
1610612746,22300085,2023-10-27,LAC @ UTA,L,1,1,0.5,240,41,77,0.532,14,35,0.4,22,28,0.786,6,30,36,17,8,6,14,22,118,123.0,123.0,0.522,0.522,36.0,36.0,17.0,17.0
1610612746,22300099,2023-10-29,LAC vs. SAS,W,2,1,0.667,240,47,91,0.516,16,42,0.381,13,21,0.619,9,39,48,23,15,5,16,16,123,120.5,120.5,0.527,0.527,26.5,26.5,15.5,15.5
1610612746,22300114,2023-10-31,LAC vs. ORL,W,3,1,0.75,240,44,89,0.494,14,31,0.452,16,23,0.696,9,35,44,29,10,4,16,26,118,121.33333333333333,121.33333333333333,0.5233333333333333,0.5233333333333333,25.333333333333332,25.333333333333332,15.666666666666666,15.666666666666666
1610612746,22300127,2023-11-01,LAC @ LAL,L,3,2,0.6,265,47,99,0.475,14,34,0.412,17,27,0.63,12,34,46,22,12,1,13,31,125,119.66666666666667,120.5,0.514,0.516,23.0,26.25,15.333333333333334,15.75
1610612746,22300151,2023-11-06,LAC @ NYK,L,3,3,0.5,240,36,73,0.493,11,32,0.344,14,16,0.875,7,24,31,21,8,3,22,15,97,122.0,121.4,0.49499999999999994,0.5078,24.666666666666668,25.4,15.0,15.2
1610612746,22300160,2023-11-08,LAC @ BKN,L,3,4,0.429,240,36,91,0.396,8,36,0.222,13,13,1.0,11,40,51,22,10,8,15,15,93,113.33333333333333,116.2,0.48733333333333334,0.502,24.0,22.4,17.0,16.2
1610612746,22300014,2023-11-10,LAC @ DAL,L,3,5,0.375,240,43,88,0.489,8,27,0.296,32,36,0.889,19,28,47,21,7,2,14,27,126,105.0,111.2,0.4546666666666666,0.4748,21.666666666666668,23.4,16.666666666666668,16.4
1610612746,22300179,2023-11-12,LAC vs. MEM,L,3,6,0.333,240,37,85,0.435,12,34,0.353,15,23,0.652,8,33,41,26,9,3,14,23,101,105.33333333333333,111.8,0.45933333333333337,0.4694,21.333333333333332,23.0,17.0,16.0
1610612746,22300024,2023-11-14,LAC @ DEN,L,3,7,0.3,240,37,86,0.43,13,29,0.448,21,24,0.875,14,28,42,21,10,1,10,24,108,106.66666666666667,108.4,0.44,0.45759999999999995,23.0,22.4,14.333333333333334,15.6
