SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1641720,0022300901,"Mar 06, 2024",LAL vs. SAC,L,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1641720,0022300884,"Mar 04, 2024",LAL vs. OKC,W,5,0,3,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-12,1
22023,1641720,0022300813,"Feb 23, 2024",LAL vs. SAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1
22023,1641720,0022300802,"Feb 22, 2024",LAL @ GSW,L,6,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,0,0,0,1,1,4,-1,1
22023,1641720,0022300776,"Feb 13, 2024",LAL vs. DET,W,2,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-3,1
22023,1641720,0022300747,"Feb 09, 2024",LAL vs. NOP,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1
22023,1641720,0022300684,"Feb 01, 2024",LAL @ BOS,W,1,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,-2,1
22023,1641720,0022300669,"Jan 30, 2024",LAL @ ATL,L,3,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,2,1
22023,1641720,0022300662,"Jan 29, 2024",LAL @ HOU,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,1,0,0,1
22023,1641720,0022300618,"Jan 23, 2024",LAL @ LAC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1
22023,1641720,0022300605,"Jan 21, 2024",LAL vs. POR,W,6,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,1,1,0,1,0,4,1,1
22023,1641720,0022300591,"Jan 19, 2024",LAL vs. BKN,L,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,0,1
22023,1641720,0022300531,"Jan 11, 2024",LAL vs. PHX,L,5,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,4,1
22023,1641720,0022300475,"Jan 03, 2024",LAL vs. MIA,L,6,0,4,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-1,1
22023,1641720,0022300446,"Dec 31, 2023",LAL @ NOP,L,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2,1
22023,1641720,0022300428,"Dec 28, 2023",LAL vs. CHA,W,7,1,5,0.2,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,1,2,-2,1
22023,1641720,0022301230,"Dec 07, 2023",LAL vs. NOP,W,8,0,3,0.0,0,0,0.0,1,2,0.5,1,3,4,1,0,1,1,1,1,6,1
22023,1641720,0022300291,"Dec 02, 2023",LAL vs. HOU,W,3,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22023,1641720,0022300271,"Nov 30, 2023",LAL @ OKC,L,19,1,6,0.167,0,3,0.0,1,2,0.5,0,1,1,0,0,0,1,3,3,-15,1
22023,1641720,0022300258,"Nov 29, 2023",LAL @ DET,W,11,3,4,0.75,1,2,0.5,3,6,0.5,0,1,1,1,0,0,1,2,10,-6,1
22023,1641720,0022300255,"Nov 27, 2023",LAL @ PHI,L,11,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,1,1,0,-17,1
