SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630288,0022301192,"Apr 14, 2024",PHI vs. BKN,W,8,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,2,-4,1
22023,1630288,0022301171,"Apr 12, 2024",PHI vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22023,1630288,0022301145,"Apr 09, 2024",PHI vs. DET,W,21,4,7,0.571,0,0,0.0,0,1,0.0,0,0,0,6,1,0,0,0,8,9,1
22023,1630288,0022301140,"Apr 07, 2024",PHI @ SAS,W,12,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,0,1
22023,1630288,0022301129,"Apr 06, 2024",PHI @ MEM,W,14,4,5,0.8,2,3,0.667,1,1,1.0,1,4,5,2,0,0,0,0,11,2,1
22023,1630288,0022301080,"Mar 31, 2024",PHI @ TOR,W,5,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,2,1,0,-2,1
22023,1630288,0022301028,"Mar 24, 2024",PHI @ LAC,W,12,1,3,0.333,1,3,0.333,0,0,0.0,0,4,4,3,0,0,0,0,3,-5,1
22023,1630288,0022301002,"Mar 20, 2024",PHI @ PHX,L,12,4,5,0.8,2,3,0.667,2,2,1.0,1,1,2,5,1,0,0,0,12,11,1
22023,1630288,0022300939,"Mar 12, 2024",PHI @ NYK,L,8,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1
22023,1630288,0022300909,"Mar 08, 2024",PHI vs. NOP,L,19,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,1,0,0,2,0,6,3,1
22023,1630288,0022300896,"Mar 06, 2024",PHI vs. MEM,L,24,4,7,0.571,2,4,0.5,0,0,0.0,0,3,3,6,3,1,0,0,10,17,1
22023,1630288,0022300887,"Mar 05, 2024",PHI @ BKN,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-6,1
