SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631098,0022301186,"Apr 14, 2024",WAS @ BOS,L,27,3,5,0.6,0,0,0.0,0,0,0.0,0,1,1,2,2,0,3,4,6,-15,1
22023,1631098,0022301172,"Apr 12, 2024",WAS vs. CHI,L,25,5,8,0.625,4,5,0.8,1,2,0.5,0,2,2,2,1,0,0,3,15,2,1
22023,1631098,0022301152,"Apr 09, 2024",WAS @ MIN,L,20,3,4,0.75,1,1,1.0,3,5,0.6,0,3,3,0,0,0,2,3,10,-3,1
22023,1631098,0022301137,"Apr 07, 2024",WAS @ TOR,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,-16,1
22023,1631098,0022301117,"Apr 05, 2024",WAS vs. POR,L,21,3,3,1.0,1,1,1.0,0,0,0.0,0,1,1,3,0,0,0,2,7,-8,1
22023,1631098,0022301095,"Apr 02, 2024",WAS vs. MIL,W,18,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,1,1,0,0,4,1,-7,1
22023,1631098,0022301081,"Mar 31, 2024",WAS vs. MIA,L,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,0,4,-4,1
22023,1631098,0022301065,"Mar 29, 2024",WAS vs. DET,L,10,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,2,1
22023,1631098,0022301050,"Mar 27, 2024",WAS vs. BKN,L,17,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,1,0,2,0,1,2,-5,1
22023,1631098,0022301037,"Mar 25, 2024",WAS @ CHI,W,20,3,6,0.5,2,4,0.5,0,0,0.0,1,1,2,3,0,0,0,0,8,-3,1
22023,1631098,0022301022,"Mar 23, 2024",WAS vs. TOR,W,17,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,0,4,6,1
22023,1631098,0022301005,"Mar 21, 2024",WAS vs. SAC,W,13,1,2,0.5,0,0,0.0,2,2,1.0,1,2,3,1,0,0,0,2,4,1,1
22023,1631098,0022300992,"Mar 19, 2024",WAS vs. HOU,L,27,1,7,0.143,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,2,2,-11,1
22023,1631098,0022300980,"Mar 17, 2024",WAS vs. BOS,L,22,4,7,0.571,0,2,0.0,0,0,0.0,1,3,4,1,0,2,0,3,8,-17,1
22023,1631098,0022300971,"Mar 16, 2024",WAS @ CHI,L,15,2,6,0.333,1,3,0.333,0,0,0.0,0,0,0,3,1,0,0,1,5,-16,1
22023,1631098,0022300957,"Mar 14, 2024",WAS @ HOU,L,8,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,-7,1
22023,1631098,0022300940,"Mar 12, 2024",WAS @ MEM,L,5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-5,1
22023,1631098,0022300926,"Mar 10, 2024",WAS @ MIA,W,9,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,-4,1
22023,1631098,0022300910,"Mar 08, 2024",WAS vs. CHA,W,8,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,2,0,-7,1
22023,1631098,0022300894,"Mar 06, 2024",WAS vs. ORL,L,18,2,7,0.286,2,4,0.5,2,2,1.0,1,1,2,1,0,0,0,0,8,14,1
22023,1631098,0022300882,"Mar 04, 2024",WAS @ UTA,L,8,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,10,1
22023,1631098,0022300865,"Mar 01, 2024",WAS @ LAC,L,24,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,2,1,0,0,1,2,-8,1
22023,1631098,0022300856,"Feb 29, 2024",WAS @ LAL,L,17,0,3,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3,1
22023,1631098,0022300834,"Feb 27, 2024",WAS vs. GSW,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-13,1
22023,1631098,0022300820,"Feb 25, 2024",WAS vs. CLE,L,16,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,5,2,-16,1
22023,1631098,0022300809,"Feb 23, 2024",WAS @ OKC,L,22,1,8,0.125,0,2,0.0,0,0,0.0,2,5,7,1,0,0,1,2,2,-16,1
22023,1631098,0022300800,"Feb 22, 2024",WAS @ DEN,L,14,1,4,0.25,0,1,0.0,0,2,0.0,0,3,3,1,1,0,0,2,2,-8,1
22023,1631098,0022300705,"Feb 04, 2024",WAS vs. PHX,L,18,1,7,0.143,1,3,0.333,0,0,0.0,0,0,0,1,1,0,1,1,3,-8,1
22023,1631098,0022300689,"Feb 02, 2024",WAS vs. MIA,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1
22023,1631098,0022300676,"Jan 31, 2024",WAS vs. LAC,L,12,1,3,0.333,0,1,0.0,0,2,0.0,0,1,1,1,0,1,0,2,2,11,1
22023,1631098,0022300628,"Jan 25, 2024",WAS vs. UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1631098,0022300558,"Jan 15, 2024",WAS vs. DET,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1
22023,1631098,0022300494,"Jan 06, 2024",WAS vs. NYK,L,3,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,5,1
22023,1631098,0022300482,"Jan 05, 2024",WAS @ CLE,L,6,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-1,1
22023,1631098,0022300465,"Jan 03, 2024",WAS @ CLE,L,5,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1
