SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1626196,0022300759,"Feb 11, 2024",MIA vs. BOS,L,7,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,-6,1
22023,1626196,0022300730,"Feb 07, 2024",MIA vs. SAS,W,26,2,6,0.333,1,4,0.25,4,4,1.0,0,4,4,0,0,0,0,2,9,-3,1
22023,1626196,0022300721,"Feb 06, 2024",MIA vs. ORL,W,27,5,7,0.714,3,3,1.0,0,0,0.0,2,3,5,1,2,0,0,4,13,16,1
22023,1626196,0022300708,"Feb 04, 2024",MIA vs. LAC,L,33,6,13,0.462,2,8,0.25,0,0,0.0,0,3,3,4,0,0,0,2,14,-8,1
22023,1626196,0022300689,"Feb 02, 2024",MIA @ WAS,W,25,3,8,0.375,1,6,0.167,0,0,0.0,0,4,4,2,0,0,1,2,7,-6,1
22023,1626196,0022300678,"Jan 31, 2024",MIA vs. SAC,W,27,9,15,0.6,6,10,0.6,0,0,0.0,0,5,5,3,0,1,0,2,24,5,1
22023,1626196,0022300661,"Jan 29, 2024",MIA vs. PHX,L,24,4,8,0.5,2,4,0.5,2,2,1.0,1,3,4,2,2,0,1,1,12,7,1
22023,1626196,0022300630,"Jan 25, 2024",MIA vs. BOS,L,24,4,9,0.444,0,4,0.0,0,0,0.0,1,1,2,3,1,0,0,1,8,-8,1
22023,1626196,0022300621,"Jan 24, 2024",MIA vs. MEM,L,18,4,7,0.571,1,4,0.25,0,0,0.0,0,3,3,2,0,1,1,2,9,6,1
22023,1626196,0022300601,"Jan 21, 2024",MIA @ ORL,L,9,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,1,3,-2,1
22023,1626196,0022300587,"Jan 19, 2024",MIA vs. ATL,L,21,2,5,0.4,2,4,0.5,3,3,1.0,0,3,3,0,0,1,0,1,9,-9,1
22023,1626196,0022300574,"Jan 17, 2024",MIA @ TOR,L,23,2,7,0.286,1,4,0.25,0,0,0.0,0,1,1,0,1,2,1,3,5,-24,1
22023,1626196,0022300562,"Jan 15, 2024",MIA @ BKN,W,28,3,13,0.231,2,6,0.333,1,1,1.0,1,4,5,1,0,1,1,2,9,-11,1
22023,1626196,0022300551,"Jan 14, 2024",MIA vs. CHA,W,20,4,8,0.5,2,3,0.667,1,1,1.0,1,1,2,0,0,0,1,1,11,5,1
22023,1626196,0022300535,"Jan 12, 2024",MIA vs. ORL,W,25,4,6,0.667,0,1,0.0,1,1,1.0,0,1,1,2,1,0,2,2,9,-5,1
22023,1626196,0022300522,"Jan 10, 2024",MIA vs. OKC,L,21,3,7,0.429,2,5,0.4,0,0,0.0,0,1,1,2,1,0,2,2,8,-19,1
22023,1626196,0022300509,"Jan 08, 2024",MIA vs. HOU,W,29,4,6,0.667,2,3,0.667,2,2,1.0,0,2,2,2,0,1,0,2,12,1,1
22023,1626196,0022300489,"Jan 05, 2024",MIA @ PHX,L,29,2,9,0.222,1,6,0.167,5,5,1.0,1,7,8,7,2,0,0,3,10,-4,1
22023,1626196,0022300475,"Jan 03, 2024",MIA @ LAL,W,21,4,7,0.571,2,3,0.667,0,0,0.0,0,1,1,1,0,1,0,3,10,9,1
22023,1626196,0022300384,"Dec 22, 2023",MIA vs. ATL,W,29,1,5,0.2,0,4,0.0,1,1,1.0,0,3,3,1,1,0,1,0,3,0,1
22023,1626196,0022300366,"Dec 20, 2023",MIA @ ORL,W,34,4,12,0.333,4,8,0.5,0,0,0.0,0,2,2,4,1,1,0,1,12,7,1
22023,1626196,0022300353,"Dec 18, 2023",MIA vs. MIN,L,26,4,6,0.667,2,4,0.5,3,3,1.0,0,4,4,3,0,0,1,2,13,-7,1
22023,1626196,0022300337,"Dec 16, 2023",MIA vs. CHI,W,20,3,7,0.429,2,5,0.4,0,0,0.0,1,1,2,2,0,0,1,1,8,-12,1
22023,1626196,0022300292,"Dec 11, 2023",MIA @ CHA,W,25,0,7,0.0,0,4,0.0,2,2,1.0,0,4,4,4,1,0,0,0,2,-11,1
22023,1626196,0022301220,"Dec 08, 2023",MIA vs. CLE,L,31,6,11,0.545,5,7,0.714,0,0,0.0,0,1,1,2,1,0,1,3,17,7,1
22023,1626196,0022301207,"Dec 06, 2023",MIA @ TOR,W,30,2,6,0.333,1,4,0.25,2,2,1.0,1,3,4,2,0,0,1,3,7,-7,1
22023,1626196,0022300284,"Dec 02, 2023",MIA vs. IND,L,24,6,9,0.667,2,4,0.5,2,2,1.0,0,2,2,3,0,1,2,1,16,-11,1
22023,1626196,0022300267,"Nov 30, 2023",MIA vs. IND,W,32,8,11,0.727,0,2,0.0,3,4,0.75,1,3,4,3,0,0,2,3,19,22,1
22023,1626196,0022300056,"Nov 28, 2023",MIA vs. MIL,L,37,7,13,0.538,3,7,0.429,3,4,0.75,1,2,3,7,0,0,0,2,20,-10,1
22023,1626196,0022300240,"Nov 25, 2023",MIA @ BKN,L,37,4,11,0.364,0,5,0.0,3,3,1.0,2,3,5,5,0,1,2,1,11,-16,1
