SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630231,0022301140,"Apr 07, 2024",PHI @ SAS,W,23,4,5,0.8,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,8,4,1
22023,1630231,0022301129,"Apr 06, 2024",PHI @ MEM,W,22,5,7,0.714,0,0,0.0,0,0,0.0,3,3,6,1,0,2,3,3,10,2,1
22023,1630231,0022301111,"Apr 04, 2024",PHI @ MIA,W,21,2,6,0.333,0,0,0.0,0,0,0.0,4,0,4,1,0,1,1,0,4,-6,1
22023,1630231,0022301093,"Apr 02, 2024",PHI vs. OKC,W,12,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,-4,1
22023,1630231,0022301080,"Mar 31, 2024",PHI @ TOR,W,10,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,2,0,0,0,1,2,9,1
22023,1630231,0022301042,"Mar 25, 2024",PHI @ SAC,L,19,2,6,0.333,0,2,0.0,0,0,0.0,2,3,5,1,0,1,2,5,4,6,1
22023,1630231,0022301028,"Mar 24, 2024",PHI @ LAC,W,24,4,6,0.667,0,1,0.0,0,1,0.0,1,1,2,4,1,1,0,3,8,15,1
22023,1630231,0022301018,"Mar 22, 2024",PHI @ LAL,L,3,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,2,0,-3,1
22023,1630231,0022301002,"Mar 20, 2024",PHI @ PHX,L,26,4,9,0.444,1,2,0.5,2,4,0.5,3,10,13,2,0,0,0,1,11,4,1
22023,1630231,0022300985,"Mar 18, 2024",PHI vs. MIA,W,7,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,2,1,2,1
22023,1630231,0022300969,"Mar 16, 2024",PHI vs. CHA,W,13,2,3,0.667,1,1,1.0,1,1,1.0,1,2,3,2,0,0,1,4,6,-8,1
22023,1630231,0022300958,"Mar 14, 2024",PHI @ MIL,L,14,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,1,2,0,0,4,4,8,1
22023,1630231,0022300939,"Mar 12, 2024",PHI @ NYK,L,11,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22023,1630231,0022300927,"Mar 10, 2024",PHI @ NYK,W,4,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,-3,1
22023,1630231,0022300909,"Mar 08, 2024",PHI vs. NOP,L,17,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,3,0,-17,1
22023,1630231,0022300896,"Mar 06, 2024",PHI vs. MEM,L,20,2,2,1.0,1,1,1.0,2,2,1.0,1,3,4,3,0,1,1,6,7,-1,1
22023,1630231,0022300887,"Mar 05, 2024",PHI @ BKN,L,11,3,4,0.75,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,3,6,-2,1
22023,1630231,0022300871,"Mar 03, 2024",PHI @ DAL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-4,1
22023,1630231,0022300805,"Feb 23, 2024",PHI vs. CLE,W,17,3,5,0.6,0,0,0.0,0,1,0.0,1,5,6,2,0,1,0,3,6,0,1
22023,1630231,0022300794,"Feb 22, 2024",PHI vs. NYK,L,21,3,5,0.6,0,0,0.0,0,0,0.0,2,5,7,1,1,1,0,1,6,-1,1
22023,1630231,0022300779,"Feb 14, 2024",PHI vs. MIA,L,28,4,7,0.571,1,2,0.5,0,0,0.0,1,4,5,3,0,0,2,1,9,-2,1
22023,1630231,0022300762,"Feb 12, 2024",PHI @ CLE,W,26,5,5,1.0,0,0,0.0,0,0,0.0,3,5,8,1,0,0,2,4,10,-2,1
22023,1630231,0022300753,"Feb 10, 2024",PHI @ WAS,W,23,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,3,4,18,1
22023,1630231,0022300742,"Feb 09, 2024",PHI vs. ATL,L,19,2,4,0.5,0,1,0.0,1,2,0.5,1,5,6,0,1,0,1,4,5,-10,1
22023,1630231,0022300727,"Feb 07, 2024",PHI vs. GSW,L,29,6,10,0.6,2,3,0.667,1,1,1.0,1,4,5,2,1,0,1,1,15,-9,1
22023,1630231,0022300715,"Feb 05, 2024",PHI vs. DAL,L,6,2,3,0.667,0,1,0.0,1,2,0.5,0,1,1,0,0,1,1,0,5,4,1
22023,1630231,0022300698,"Feb 03, 2024",PHI vs. BKN,L,21,5,9,0.556,1,2,0.5,0,0,0.0,0,4,4,4,0,0,0,1,11,1,1
22023,1630231,0022300686,"Feb 01, 2024",PHI @ UTA,W,5,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-3,1
22023,1630231,0022300673,"Jan 30, 2024",PHI @ GSW,L,26,1,2,0.5,0,1,0.0,0,3,0.0,0,2,2,0,1,1,2,3,2,16,1
22023,1630231,0022300668,"Jan 29, 2024",PHI @ POR,L,18,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,1,0,0,2,5,6,-13,1
22023,1630231,0022300644,"Jan 27, 2024",PHI @ DEN,L,19,3,5,0.6,0,1,0.0,1,2,0.5,0,4,4,1,0,0,2,4,7,8,1
22023,1630231,0022300627,"Jan 25, 2024",PHI @ IND,L,31,4,6,0.667,0,1,0.0,3,6,0.5,1,2,3,2,2,0,2,4,11,4,1
22023,1630231,0022300608,"Jan 22, 2024",PHI vs. SAS,W,17,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,4,9,1
22023,1630231,0022300585,"Jan 19, 2024",PHI @ ORL,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,2,1
22023,1630231,0022300555,"Jan 15, 2024",PHI vs. HOU,W,6,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-10,1
22023,1630231,0022300532,"Jan 12, 2024",PHI vs. SAC,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1
22023,1630231,0022300521,"Jan 10, 2024",PHI @ ATL,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,2,1
22023,1630231,0022300495,"Jan 06, 2024",PHI vs. UTA,L,17,4,7,0.571,0,1,0.0,1,2,0.5,1,1,2,1,1,0,0,4,9,-1,1
22023,1630231,0022300483,"Jan 05, 2024",PHI vs. NYK,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-12,1
22023,1630231,0022300459,"Jan 02, 2024",PHI vs. CHI,W,9,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-17,1
22023,1630231,0022300442,"Dec 30, 2023",PHI @ CHI,L,8,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,4,1
22023,1630231,0022300415,"Dec 27, 2023",PHI @ ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22023,1630231,0022300404,"Dec 25, 2023",PHI @ MIA,L,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,-7,1
22023,1630231,0022300382,"Dec 22, 2023",PHI vs. TOR,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22023,1630231,0022300367,"Dec 20, 2023",PHI vs. MIN,W,7,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,3,11,1
22023,1630231,0022300335,"Dec 16, 2023",PHI @ CHA,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,2,0,0,1,0,6,1
22023,1630231,0022300327,"Dec 15, 2023",PHI vs. DET,W,7,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,-6,1
22023,1630231,0022300310,"Dec 13, 2023",PHI @ DET,W,4,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,2,-6,1
22023,1630231,0022300295,"Dec 11, 2023",PHI vs. WAS,W,6,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,3,1
22023,1630231,0022300275,"Dec 01, 2023",PHI @ BOS,L,13,1,5,0.2,0,0,0.0,0,0,0.0,0,2,2,0,2,0,0,1,2,0,1
22023,1630231,0022300262,"Nov 29, 2023",PHI @ NOP,L,17,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,2,0,0,2,4,4,4,1
22023,1630231,0022300255,"Nov 27, 2023",PHI vs. LAL,W,5,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,1,1,13,1
22023,1630231,0022300232,"Nov 22, 2023",PHI @ MIN,L,6,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,2,3,8,1
22023,1630231,0022300208,"Nov 19, 2023",PHI @ BKN,W,4,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1,1
22023,1630231,0022300019,"Nov 14, 2023",PHI vs. IND,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1630231,0022300148,"Nov 06, 2023",PHI vs. WAS,W,4,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-6,1
22023,1630231,0022300132,"Nov 04, 2023",PHI vs. PHX,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-5,1
22023,1630231,0022300128,"Nov 02, 2023",PHI vs. TOR,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,1
22023,1630231,0022300099,"Oct 29, 2023",LAC vs. SAS,W,18,4,6,0.667,1,3,0.333,1,2,0.5,0,2,2,0,1,1,2,1,10,13,1
22023,1630231,0022300074,"Oct 25, 2023",LAC vs. POR,W,14,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,1,1,0,0,2,0,-17,1
