SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1627736,0022301191,"Apr 14, 2024",MIL @ ORL,L,20,2,6,0.333,0,4,0.0,0,0,0.0,0,2,2,0,1,0,0,0,4,-14,1
22023,1627736,0022301179,"Apr 12, 2024",MIL @ OKC,L,30,7,10,0.7,3,5,0.6,0,0,0.0,0,2,2,2,0,0,2,1,17,-2,1
22023,1627736,0022301162,"Apr 10, 2024",MIL vs. ORL,W,25,3,9,0.333,2,8,0.25,0,0,0.0,0,5,5,0,0,0,0,4,8,-3,1
22023,1627736,0022301148,"Apr 09, 2024",MIL vs. BOS,W,25,2,7,0.286,1,5,0.2,0,0,0.0,0,2,2,1,0,0,0,0,5,3,1
22023,1627736,0022301139,"Apr 07, 2024",MIL vs. NYK,L,23,3,6,0.5,3,6,0.5,0,0,0.0,0,1,1,3,0,0,0,5,9,-10,1
22023,1627736,0022301122,"Apr 05, 2024",MIL vs. TOR,L,24,1,7,0.143,1,5,0.2,0,0,0.0,0,4,4,2,1,0,1,0,3,-12,1
22023,1627736,0022301107,"Apr 03, 2024",MIL vs. MEM,L,38,3,10,0.3,3,7,0.429,1,1,1.0,0,3,3,2,0,0,0,0,10,-16,1
22023,1627736,0022301095,"Apr 02, 2024",MIL @ WAS,L,30,2,13,0.154,1,10,0.1,0,0,0.0,1,1,2,1,2,0,1,3,5,-7,1
22023,1627736,0022301076,"Mar 30, 2024",MIL @ ATL,W,35,4,12,0.333,2,9,0.222,0,0,0.0,0,1,1,2,0,0,1,2,10,8,1
22023,1627736,0022301061,"Mar 28, 2024",MIL @ NOP,L,33,6,12,0.5,6,11,0.545,2,2,1.0,0,2,2,0,0,1,1,3,20,6,1
22023,1627736,0022301045,"Mar 26, 2024",MIL vs. LAL,L,40,8,18,0.444,5,14,0.357,0,0,0.0,0,3,3,1,1,1,1,3,21,1,1
22023,1627736,0022301030,"Mar 24, 2024",MIL vs. OKC,W,25,3,6,0.5,2,5,0.4,0,0,0.0,0,2,2,0,1,0,1,2,8,7,1
22023,1627736,0022301007,"Mar 21, 2024",MIL vs. BKN,W,31,5,10,0.5,2,7,0.286,4,4,1.0,1,5,6,0,0,0,0,2,16,6,1
22023,1627736,0022300998,"Mar 20, 2024",MIL @ BOS,L,28,2,8,0.25,2,7,0.286,0,0,0.0,0,6,6,0,0,0,0,2,6,-2,1
22023,1627736,0022300976,"Mar 17, 2024",MIL vs. PHX,W,29,6,11,0.545,5,8,0.625,0,0,0.0,0,3,3,3,0,0,0,1,17,3,1
22023,1627736,0022300945,"Mar 12, 2024",MIL @ SAC,L,25,4,13,0.308,3,11,0.273,0,0,0.0,0,3,3,2,0,0,2,1,11,-22,1
22023,1627736,0022300924,"Mar 10, 2024",MIL @ LAC,W,39,6,11,0.545,4,9,0.444,1,1,1.0,0,4,4,1,0,0,1,0,17,20,1
22023,1627736,0022300915,"Mar 08, 2024",MIL @ LAL,L,34,5,12,0.417,4,9,0.444,0,0,0.0,1,3,4,2,1,0,1,3,14,11,1
22023,1627736,0022300899,"Mar 06, 2024",MIL @ GSW,L,32,2,10,0.2,0,6,0.0,0,0,0.0,1,2,3,1,1,1,1,1,4,-19,1
22023,1627736,0022300880,"Mar 04, 2024",MIL vs. LAC,W,29,2,11,0.182,1,7,0.143,0,0,0.0,1,3,4,2,3,0,1,5,5,-3,1
22023,1627736,0022300864,"Mar 01, 2024",MIL @ CHI,W,28,1,7,0.143,1,7,0.143,1,2,0.5,0,6,6,2,1,0,1,0,4,17,1
22023,1627736,0022300849,"Feb 29, 2024",MIL @ CHA,W,28,7,12,0.583,5,9,0.556,0,0,0.0,0,2,2,0,0,0,0,1,19,18,1
22023,1627736,0022300840,"Feb 27, 2024",MIL vs. CHA,W,26,2,6,0.333,2,6,0.333,0,0,0.0,0,4,4,4,1,0,0,2,6,37,1
22023,1627736,0022300817,"Feb 25, 2024",MIL @ PHI,W,32,7,9,0.778,6,7,0.857,0,0,0.0,0,2,2,1,0,0,1,3,20,24,1
22023,1627736,0022300808,"Feb 23, 2024",MIL @ MIN,W,32,5,12,0.417,4,9,0.444,0,0,0.0,0,2,2,3,3,0,0,3,14,7,1
22023,1627736,0022300790,"Feb 15, 2024",MIL @ MEM,L,30,3,10,0.3,3,10,0.3,0,0,0.0,0,2,2,0,2,0,0,4,9,4,1
22023,1627736,0022300773,"Feb 13, 2024",MIL vs. MIA,L,28,6,10,0.6,4,8,0.5,0,0,0.0,0,3,3,0,3,0,1,1,16,-23,1
22023,1627736,0022300767,"Feb 12, 2024",MIL vs. DEN,W,30,3,6,0.5,3,6,0.5,0,0,0.0,1,4,5,1,0,0,0,0,9,16,1
22023,1627736,0022300745,"Feb 09, 2024",MIL vs. CHA,W,24,7,9,0.778,7,9,0.778,0,1,0.0,1,1,2,2,1,0,0,2,21,31,1
22023,1627736,0022300738,"Feb 08, 2024",MIL vs. MIN,L,33,1,13,0.077,0,9,0.0,1,2,0.5,2,2,4,3,1,0,1,0,3,-13,1
22023,1627736,0022300725,"Feb 06, 2024",MIL @ PHX,L,36,7,17,0.412,6,14,0.429,2,2,1.0,2,2,4,2,0,0,3,1,22,0,1
22023,1627736,0022300711,"Feb 04, 2024",MIL @ UTA,L,30,6,8,0.75,4,6,0.667,0,0,0.0,1,2,3,2,1,0,0,4,16,-21,1
22023,1627736,0022300702,"Feb 03, 2024",MIL @ DAL,W,33,3,9,0.333,3,8,0.375,0,2,0.0,0,7,7,0,2,0,1,1,9,25,1
22023,1627736,0022300683,"Jan 31, 2024",MIL @ POR,L,29,3,8,0.375,1,6,0.167,0,0,0.0,0,6,6,1,1,0,0,3,7,6,1
22023,1627736,0022300667,"Jan 29, 2024",MIL @ DEN,L,31,2,9,0.222,1,7,0.143,0,0,0.0,0,1,1,2,0,1,0,1,5,6,1
22023,1627736,0022300648,"Jan 27, 2024",MIL vs. NOP,W,28,3,10,0.3,1,7,0.143,1,2,0.5,1,3,4,2,2,0,2,2,8,26,1
22023,1627736,0022300639,"Jan 26, 2024",MIL vs. CLE,L,27,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,0,2,4,3,-9,1
22023,1627736,0022300624,"Jan 24, 2024",MIL vs. CLE,W,28,3,5,0.6,3,5,0.6,0,0,0.0,0,1,1,1,1,0,1,3,9,10,1
22023,1627736,0022300606,"Jan 22, 2024",MIL @ DET,W,35,5,14,0.357,3,8,0.375,0,0,0.0,1,5,6,2,0,0,0,2,13,21,1
22023,1627736,0022300592,"Jan 20, 2024",MIL @ DET,W,34,5,9,0.556,1,4,0.25,0,0,0.0,0,2,2,1,0,0,2,4,11,22,1
22023,1627736,0022300572,"Jan 17, 2024",MIL @ CLE,L,22,1,6,0.167,0,3,0.0,0,0,0.0,1,4,5,1,0,0,0,3,2,-27,1
22023,1627736,0022300552,"Jan 14, 2024",MIL vs. SAC,W,45,7,12,0.583,5,9,0.556,4,4,1.0,0,4,4,5,1,0,1,5,23,-1,1
22023,1627736,0022300545,"Jan 13, 2024",MIL vs. GSW,W,29,4,8,0.5,3,6,0.5,0,0,0.0,2,2,4,1,2,0,1,1,11,14,1
