SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1641741,0022301192,"Apr 14, 2024",PHI vs. BKN,W,8,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,1,3,-4,1
22023,1641741,0022301171,"Apr 12, 2024",PHI vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22023,1641741,0022301145,"Apr 09, 2024",PHI vs. DET,W,10,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,1,1,0,0,2,3,5,1
22023,1641741,0022301140,"Apr 07, 2024",PHI @ SAS,W,22,4,5,0.8,0,0,0.0,3,3,1.0,1,1,2,3,4,0,0,1,11,14,1
22023,1641741,0022301129,"Apr 06, 2024",PHI @ MEM,W,12,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,1,0,0,0,3,4,1
22023,1641741,0022301080,"Mar 31, 2024",PHI @ TOR,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22023,1641741,0022301067,"Mar 29, 2024",PHI @ CLE,L,9,1,2,0.5,1,1,1.0,1,2,0.5,0,0,0,1,0,0,0,1,4,6,1
22023,1641741,0022301042,"Mar 25, 2024",PHI @ SAC,L,9,2,5,0.4,1,3,0.333,5,6,0.833,1,1,2,1,0,0,0,1,10,4,1
22023,1641741,0022301028,"Mar 24, 2024",PHI @ LAC,W,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,0,1
22023,1641741,0022301002,"Mar 20, 2024",PHI @ PHX,L,12,4,5,0.8,2,2,1.0,0,0,0.0,0,0,0,2,0,0,0,0,10,11,1
22023,1641741,0022300939,"Mar 12, 2024",PHI @ NYK,L,6,1,3,0.333,0,0,0.0,2,2,1.0,0,0,0,0,0,1,0,0,4,2,1
22023,1641741,0022300909,"Mar 08, 2024",PHI vs. NOP,L,6,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,1
22023,1641741,0022300896,"Mar 06, 2024",PHI vs. MEM,L,9,0,3,0.0,0,2,0.0,1,4,0.25,0,1,1,0,0,0,1,1,1,-10,1
22023,1641741,0022300858,"Mar 01, 2024",PHI vs. CHA,W,5,1,5,0.2,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,3,-15,1
22023,1641741,0022300836,"Feb 27, 2024",PHI @ BOS,L,19,6,8,0.75,0,0,0.0,4,4,1.0,1,3,4,1,0,0,1,0,16,7,1
22023,1641741,0022300817,"Feb 25, 2024",PHI vs. MIL,L,7,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,-8,1
22023,1641741,0022300805,"Feb 23, 2024",PHI vs. CLE,W,6,0,3,0.0,0,2,0.0,3,4,0.75,0,1,1,0,0,0,0,0,3,1,1
22023,1641741,0022300794,"Feb 22, 2024",PHI vs. NYK,L,4,0,0,0.0,0,0,0.0,0,2,0.0,1,1,2,1,0,0,0,0,0,-9,1
22023,1641741,0022300779,"Feb 14, 2024",PHI vs. MIA,L,23,5,10,0.5,1,4,0.25,2,2,1.0,0,4,4,2,0,0,1,1,13,-2,1
22023,1641741,0022300762,"Feb 12, 2024",PHI @ CLE,W,21,2,7,0.286,0,2,0.0,4,5,0.8,1,4,5,0,0,0,0,1,8,5,1
22023,1641741,0022300753,"Feb 10, 2024",PHI @ WAS,W,29,7,13,0.538,0,1,0.0,5,8,0.625,5,5,10,1,0,0,0,2,19,1,1
22023,1641741,0022300742,"Feb 09, 2024",PHI vs. ATL,L,7,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,1,4,0,1
22023,1641741,0022300727,"Feb 07, 2024",PHI vs. GSW,L,10,4,7,0.571,1,3,0.333,8,8,1.0,0,0,0,0,0,0,0,1,17,4,1
22023,1641741,0022300715,"Feb 05, 2024",PHI vs. DAL,L,6,2,2,1.0,0,0,0.0,3,4,0.75,0,0,0,0,0,0,1,1,7,4,1
22023,1641741,0022300698,"Feb 03, 2024",PHI vs. BKN,L,12,2,4,0.5,1,1,1.0,0,1,0.0,1,4,5,1,0,0,0,0,5,8,1
22023,1641741,0022300673,"Jan 30, 2024",PHI @ GSW,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,1
22023,1641741,0022300668,"Jan 29, 2024",PHI @ POR,L,9,2,4,0.5,0,0,0.0,4,4,1.0,2,0,2,0,1,0,0,0,8,-5,1
22023,1641741,0022300627,"Jan 25, 2024",PHI @ IND,L,12,3,6,0.5,1,1,1.0,4,6,0.667,1,0,1,0,1,0,0,0,11,9,1
22023,1641741,0022300608,"Jan 22, 2024",PHI vs. SAS,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22023,1641741,0022300593,"Jan 20, 2024",PHI @ CHA,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22023,1641741,0022300585,"Jan 19, 2024",PHI @ ORL,W,2,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,2,1
22023,1641741,0022300459,"Jan 02, 2024",PHI vs. CHI,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-12,1
