SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629003,0022301112,"Apr 04, 2024",NYK vs. SAC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1629003,0022301070,"Mar 29, 2024",NYK @ SAS,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,1,1,0,0,1,2,1,1
22023,1629003,0022301053,"Mar 27, 2024",NYK @ TOR,W,10,3,5,0.6,1,1,1.0,0,0,0.0,0,3,3,2,0,0,0,3,7,14,1
22023,1629003,0022301035,"Mar 25, 2024",NYK vs. DET,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-5,1
22023,1629003,0022300939,"Mar 12, 2024",NYK vs. PHI,W,4,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,-3,1
22023,1629003,0022300912,"Mar 08, 2024",NYK vs. ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22023,1629003,0022300793,"Feb 22, 2024",DET @ IND,L,10,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-12,1
22023,1629003,0022300787,"Feb 14, 2024",DET @ PHX,L,23,4,10,0.4,3,6,0.5,2,3,0.667,4,5,9,2,1,1,2,0,13,-12,1
22023,1629003,0022300776,"Feb 13, 2024",DET @ LAL,L,19,4,9,0.444,0,1,0.0,0,0,0.0,2,4,6,4,0,0,1,1,8,-1,1
22023,1629003,0022300749,"Feb 10, 2024",DET @ LAC,L,12,2,5,0.4,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,1,4,-2,1
22023,1629003,0022300709,"Feb 04, 2024",MIN vs. HOU,W,4,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-7,1
22023,1629003,0022300680,"Jan 31, 2024",MIN vs. DAL,W,6,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,7,1
22023,1629003,0022300649,"Jan 27, 2024",MIN @ SAS,L,16,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,2,0,0,1,1,7,4,1
22023,1629003,0022300620,"Jan 24, 2024",MIN @ WAS,W,19,1,5,0.2,0,1,0.0,0,0,0.0,2,1,3,3,1,1,1,1,2,0,1
22023,1629003,0022300610,"Jan 22, 2024",MIN vs. CHA,L,15,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,3,1,0,0,1,4,-6,1
22023,1629003,0022300569,"Jan 17, 2024",MIN @ DET,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22023,1629003,0022300538,"Jan 12, 2024",MIN vs. POR,W,10,3,5,0.6,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,6,-11,1
22023,1629003,0022300517,"Jan 10, 2024",MIN @ BOS,L,9,1,2,0.5,0,0,0.0,0,1,0.0,0,2,2,0,0,1,0,0,2,8,1
22023,1629003,0022300513,"Jan 09, 2024",MIN @ ORL,W,2,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,-2,1
22023,1629003,0022300485,"Jan 05, 2024",MIN @ HOU,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1
22023,1629003,0022300471,"Jan 03, 2024",MIN vs. NOP,L,3,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,8,1
22023,1629003,0022300411,"Dec 26, 2023",MIN @ OKC,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1
22023,1629003,0022300400,"Dec 23, 2023",MIN @ SAC,W,14,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,0,5,-6,1
