SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203995,0022301187,"Apr 14, 2024",CHA @ CLE,W,10,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,4,0,0,1,0,3,-8,1
22023,203995,0022301173,"Apr 12, 2024",CHA @ BOS,L,16,2,5,0.4,1,2,0.5,0,0,0.0,0,1,1,3,0,0,3,1,5,-21,1
22023,203995,0022301159,"Apr 10, 2024",CHA @ ATL,W,22,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,5,1,0,2,0,2,-14,1
22023,203995,0022301144,"Apr 09, 2024",CHA vs. DAL,L,26,3,10,0.3,0,3,0.0,0,0,0.0,0,2,2,4,1,1,2,3,6,-26,1
22023,203995,0022301135,"Apr 07, 2024",CHA vs. OKC,L,31,6,12,0.5,4,7,0.571,1,2,0.5,0,1,1,10,1,0,4,2,17,-3,1
22023,203995,0022301115,"Apr 05, 2024",CHA vs. ORL,W,35,4,9,0.444,1,5,0.2,5,5,1.0,0,5,5,9,1,0,3,3,14,20,1
22023,203995,0022301087,"Apr 01, 2024",CHA vs. BOS,L,37,5,13,0.385,1,6,0.167,2,2,1.0,0,2,2,9,0,0,1,1,13,-1,1
22023,203995,0022301079,"Mar 31, 2024",CHA vs. LAC,L,35,4,14,0.286,2,7,0.286,0,2,0.0,3,2,5,13,1,0,0,4,10,-6,1
22023,203995,0022301062,"Mar 29, 2024",CHA vs. GSW,L,33,3,7,0.429,1,4,0.25,3,4,0.75,0,2,2,8,2,0,2,2,10,-16,1
22023,203995,0022301048,"Mar 27, 2024",CHA vs. CLE,W,34,5,11,0.455,1,3,0.333,0,0,0.0,0,1,1,12,2,0,5,3,11,1,1
22023,203995,0022301033,"Mar 25, 2024",CHA @ CLE,L,31,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,4,0,0,2,1,2,-17,1
22023,203995,0022301021,"Mar 23, 2024",CHA @ ATL,L,30,3,10,0.3,0,3,0.0,2,2,1.0,1,2,3,6,0,1,1,1,8,-18,1
22023,203995,0022300991,"Mar 19, 2024",CHA @ ORL,L,27,8,10,0.8,2,3,0.667,2,2,1.0,0,1,1,1,1,0,3,1,20,-23,1
22023,203995,0022300969,"Mar 16, 2024",CHA @ PHI,L,33,5,12,0.417,1,4,0.25,0,0,0.0,0,2,2,4,1,1,5,1,11,-14,1
22023,203995,0022300961,"Mar 15, 2024",CHA vs. PHX,L,31,7,12,0.583,0,2,0.0,7,9,0.778,1,0,1,3,0,1,1,1,21,-10,1
