Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ABBR,SEASON
1610612742,0021901313,"AUG 13, 2020",DAL @ PHX,L,43,32,0.573,240,39,89,0.438,8,26,0.308,16,19,0.842,11,32,43,17,3,4,11,18,102,DAL,2019-20
1610612742,0021901300,"AUG 11, 2020",DAL vs. POR,L,43,31,0.581,240,42,81,0.519,20,44,0.455,27,33,0.818,5,32,37,28,4,5,17,23,131,DAL,2019-20
1610612742,0021901293,"AUG 10, 2020",DAL @ UTA,W,43,30,0.589,240,48,85,0.565,12,24,0.5,14,16,0.875,4,30,34,29,6,3,8,23,122,DAL,2019-20
1610612742,0021901284,"AUG 08, 2020",DAL vs. MIL,W,42,30,0.583,265,48,115,0.417,17,53,0.321,23,25,0.92,11,43,54,37,6,2,6,26,136,DAL,2019-20
1610612742,0021901271,"AUG 06, 2020",DAL vs. LAC,L,41,30,0.577,240,39,87,0.448,17,48,0.354,16,21,0.762,8,29,37,24,3,4,7,17,111,DAL,2019-20
1610612742,0021901257,"AUG 04, 2020",DAL @ SAC,W,41,29,0.586,265,33,90,0.367,9,41,0.22,39,50,0.78,17,44,61,22,4,2,17,21,114,DAL,2019-20
1610612742,0021901249,"AUG 02, 2020",DAL @ PHX,L,40,29,0.58,240,38,93,0.409,6,31,0.194,33,37,0.892,10,39,49,22,8,5,8,22,115,DAL,2019-20
1610612742,0021901238,"JUL 31, 2020",DAL vs. HOU,L,40,28,0.588,265,50,105,0.476,21,49,0.429,28,38,0.737,13,42,55,30,7,4,20,36,149,DAL,2019-20
1610612742,0021900973,"MAR 11, 2020",DAL vs. DEN,W,40,27,0.597,240,42,92,0.457,12,35,0.343,17,23,0.739,13,39,52,23,9,2,10,14,113,DAL,2019-20
1610612742,0021900965,"MAR 10, 2020",DAL @ SAS,L,39,27,0.591,240,42,92,0.457,17,44,0.386,8,11,0.727,7,35,42,23,8,3,14,19,109,DAL,2019-20
1610612742,0021900952,"MAR 08, 2020",DAL vs. IND,L,39,26,0.6,240,39,91,0.429,14,43,0.326,17,25,0.68,9,33,42,19,7,5,10,17,109,DAL,2019-20
1610612742,0021900937,"MAR 06, 2020",DAL vs. MEM,W,39,25,0.609,240,45,95,0.474,18,47,0.383,13,17,0.765,13,35,48,30,11,9,10,11,121,DAL,2019-20
