Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ABBR,SEASON
1610612745,0021901315,"AUG 14, 2020",HOU vs. PHI,L,44,28,0.611,240,35,80,0.438,12,48,0.25,14,16,0.875,1,26,27,25,10,9,17,18,96,HOU,2019-20
1610612745,0021901304,"AUG 12, 2020",HOU vs. IND,L,44,27,0.62,240,32,86,0.372,16,57,0.281,24,28,0.857,6,43,49,20,8,6,20,20,104,HOU,2019-20
1610612745,0021901298,"AUG 11, 2020",HOU @ SAS,L,44,26,0.629,240,36,89,0.404,14,48,0.292,19,21,0.905,4,33,37,18,14,3,18,19,105,HOU,2019-20
1610612745,0021901290,"AUG 09, 2020",HOU @ SAC,W,44,25,0.638,240,43,91,0.473,18,57,0.316,25,30,0.833,8,40,48,21,9,3,15,18,129,HOU,2019-20
1610612745,0021901273,"AUG 06, 2020",HOU vs. LAL,W,43,25,0.632,240,36,84,0.429,21,57,0.368,20,23,0.87,4,30,34,26,11,5,19,28,113,HOU,2019-20
1610612745,0021901261,"AUG 04, 2020",HOU @ POR,L,42,25,0.627,240,34,87,0.391,19,53,0.358,15,24,0.625,5,34,39,24,7,3,10,26,102,HOU,2019-20
1610612745,0021901248,"AUG 02, 2020",HOU vs. MIL,W,42,24,0.636,240,36,91,0.396,21,61,0.344,27,31,0.871,6,30,36,22,15,3,9,24,120,HOU,2019-20
1610612745,0021901238,"JUL 31, 2020",HOU @ DAL,W,41,24,0.631,265,52,101,0.515,19,48,0.396,30,39,0.769,7,36,43,26,12,10,9,31,153,HOU,2019-20
1610612745,0021900963,"MAR 10, 2020",HOU vs. MIN,W,40,24,0.625,240,41,80,0.513,15,38,0.395,20,26,0.769,5,28,33,24,9,5,16,20,117,HOU,2019-20
1610612745,0021900953,"MAR 08, 2020",HOU vs. ORL,L,39,24,0.619,240,39,88,0.443,9,32,0.281,19,25,0.76,11,27,38,21,10,7,18,23,106,HOU,2019-20
1610612745,0021900940,"MAR 07, 2020",HOU @ CHA,L,39,23,0.629,240,35,76,0.461,15,45,0.333,14,20,0.7,13,29,42,22,9,3,20,25,99,HOU,2019-20
1610612745,0021900927,"MAR 05, 2020",HOU vs. LAC,L,39,22,0.639,240,35,97,0.361,7,42,0.167,28,36,0.778,15,36,51,19,6,5,10,25,105,HOU,2019-20
1610612745,0021900903,"MAR 02, 2020",HOU @ NYK,L,39,21,0.65,240,39,94,0.415,20,56,0.357,25,27,0.926,8,26,34,25,11,5,12,20,123,HOU,2019-20
1610612745,0021900892,"FEB 29, 2020",HOU @ BOS,W,39,20,0.661,265,41,98,0.418,15,55,0.273,14,18,0.778,12,41,53,17,10,8,16,20,111,HOU,2019-20
1610612745,0021900870,"FEB 26, 2020",HOU vs. MEM,W,38,20,0.655,240,52,93,0.559,23,50,0.46,13,15,0.867,9,35,44,22,8,7,18,25,140,HOU,2019-20
1610612745,0021900853,"FEB 24, 2020",HOU vs. NYK,W,37,20,0.649,240,43,86,0.5,16,48,0.333,21,31,0.677,5,33,38,20,11,7,13,22,123,HOU,2019-20
1610612745,0021900841,"FEB 22, 2020",HOU @ UTA,W,36,20,0.643,240,45,92,0.489,20,48,0.417,10,14,0.714,6,36,42,20,9,5,10,25,120,HOU,2019-20
1610612745,0021900825,"FEB 20, 2020",HOU @ GSW,W,35,20,0.636,240,45,85,0.529,25,49,0.51,20,22,0.909,8,28,36,31,14,7,15,15,135,HOU,2019-20
