Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ABBR,SEASON
1610612758,0021901310,"AUG 13, 2020",SAC @ LAL,W,31,41,0.431,240,54,95,0.568,21,47,0.447,7,12,0.583,9,35,44,37,12,2,14,15,136,SAC,2019-20
1610612758,0021901302,"AUG 11, 2020",SAC vs. NOP,W,30,41,0.423,240,43,88,0.489,11,26,0.423,15,16,0.938,14,31,45,27,4,6,20,22,112,SAC,2019-20
1610612758,0021901290,"AUG 09, 2020",SAC vs. HOU,L,29,41,0.414,240,41,87,0.471,10,37,0.27,20,23,0.87,5,36,41,29,9,2,17,22,112,SAC,2019-20
1610612758,0021901276,"AUG 07, 2020",SAC @ BKN,L,29,40,0.42,240,38,89,0.427,12,40,0.3,18,24,0.75,13,37,50,19,3,4,15,26,106,SAC,2019-20
1610612758,0021901268,"AUG 06, 2020",SAC vs. NOP,W,29,39,0.426,240,50,93,0.538,16,33,0.485,24,33,0.727,13,26,39,26,11,3,8,20,140,SAC,2019-20
1610612758,0021901257,"AUG 04, 2020",SAC vs. DAL,L,28,39,0.418,265,43,104,0.413,16,43,0.372,8,12,0.667,8,39,47,26,8,3,10,37,110,SAC,2019-20
1610612758,0021901247,"AUG 02, 2020",SAC @ ORL,L,28,38,0.424,240,45,91,0.495,8,28,0.286,18,22,0.818,9,30,39,30,10,0,14,28,116,SAC,2019-20
1610612758,0021901237,"JUL 31, 2020",SAC @ SAS,L,28,37,0.431,240,46,95,0.484,12,38,0.316,16,20,0.8,8,34,42,22,11,2,15,25,120,SAC,2019-20
1610612758,0021900956,"MAR 08, 2020",SAC vs. TOR,L,28,36,0.438,240,42,90,0.467,8,31,0.258,21,23,0.913,10,40,50,24,5,7,11,22,113,SAC,2019-20
1610612758,0021900945,"MAR 07, 2020",SAC @ POR,W,28,35,0.444,240,41,85,0.482,21,39,0.538,20,23,0.87,11,36,47,30,9,3,14,23,123,SAC,2019-20
1610612758,0021900928,"MAR 05, 2020",SAC vs. PHI,L,27,35,0.435,240,42,79,0.532,11,29,0.379,13,18,0.722,4,33,37,23,7,4,17,21,108,SAC,2019-20
1610612758,0021900916,"MAR 03, 2020",SAC vs. WAS,W,27,34,0.443,240,50,89,0.562,13,29,0.448,20,24,0.833,8,34,42,23,13,2,15,24,133,SAC,2019-20
1610612758,0021900899,"MAR 01, 2020",SAC vs. DET,W,26,34,0.433,240,37,91,0.407,9,35,0.257,23,26,0.885,17,34,51,18,8,7,10,20,106,SAC,2019-20
1610612758,0021900881,"FEB 28, 2020",SAC @ MEM,W,25,34,0.424,240,38,91,0.418,11,38,0.289,17,21,0.81,8,39,47,24,11,3,9,16,104,SAC,2019-20
1610612758,0021900875,"FEB 27, 2020",SAC @ OKC,L,24,34,0.414,240,41,91,0.451,12,35,0.343,14,14,1.0,12,33,45,30,6,2,15,33,108,SAC,2019-20
1610612758,0021900863,"FEB 25, 2020",SAC @ GSW,W,24,33,0.421,240,40,76,0.526,13,30,0.433,19,34,0.559,2,38,40,25,7,4,10,23,112,SAC,2019-20
1610612758,0021900835,"FEB 22, 2020",SAC @ LAC,W,23,33,0.411,240,40,89,0.449,12,31,0.387,20,26,0.769,11,37,48,25,11,4,13,24,112,SAC,2019-20
1610612758,0021900824,"FEB 20, 2020",SAC vs. MEM,W,22,33,0.4,240,42,83,0.506,19,39,0.487,26,36,0.722,3,24,27,22,9,2,10,21,129,SAC,2019-20
