Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ABBR,SEASON
1610612764,0021901308,"AUG 13, 2020",WAS @ BOS,W,25,47,0.347,240,34,88,0.386,10,26,0.385,18,24,0.75,18,38,56,22,11,6,18,19,96,WAS,2019-20
1610612764,0021901303,"AUG 11, 2020",WAS vs. MIL,L,24,47,0.338,240,39,95,0.411,12,35,0.343,23,30,0.767,11,33,44,22,2,3,11,23,113,WAS,2019-20
1610612764,0021901285,"AUG 09, 2020",WAS @ OKC,L,24,46,0.343,240,38,92,0.413,9,36,0.25,18,22,0.818,13,31,44,23,6,3,15,18,103,WAS,2019-20
1610612764,0021901278,"AUG 07, 2020",WAS @ NOP,L,24,45,0.348,240,38,90,0.422,10,27,0.37,21,23,0.913,10,30,40,22,9,4,13,27,107,WAS,2019-20
1610612764,0021901263,"AUG 05, 2020",WAS vs. PHI,L,24,44,0.353,240,36,85,0.424,7,21,0.333,19,24,0.792,9,39,48,17,8,5,15,26,98,WAS,2019-20
1610612764,0021901252,"AUG 03, 2020",WAS vs. IND,L,24,43,0.358,240,41,94,0.436,11,30,0.367,7,13,0.538,9,36,45,30,6,7,13,19,100,WAS,2019-20
1610612764,0021901244,"AUG 02, 2020",WAS @ BKN,L,24,42,0.364,240,40,88,0.455,9,31,0.29,21,27,0.778,10,36,46,26,6,6,12,31,110,WAS,2019-20
1610612764,0021901235,"JUL 31, 2020",WAS vs. PHX,L,24,41,0.369,240,42,91,0.462,8,22,0.364,20,23,0.87,8,28,36,18,7,2,18,26,112,WAS,2019-20
1610612764,0021900961,"MAR 10, 2020",WAS vs. NYK,W,24,40,0.375,240,35,74,0.473,14,35,0.4,38,45,0.844,9,28,37,23,8,4,16,25,122,WAS,2019-20
1610612764,0021900951,"MAR 08, 2020",WAS vs. MIA,L,23,40,0.365,240,26,78,0.333,19,47,0.404,18,21,0.857,4,25,29,19,11,2,13,26,89,WAS,2019-20
1610612764,0021900930,"MAR 06, 2020",WAS vs. ATL,W,23,39,0.371,240,36,76,0.474,15,31,0.484,31,35,0.886,9,29,38,24,9,4,16,19,118,WAS,2019-20
1610612764,0021900925,"MAR 04, 2020",WAS @ POR,L,22,39,0.361,240,40,103,0.388,11,35,0.314,13,21,0.619,18,30,48,27,8,4,10,29,104,WAS,2019-20
1610612764,0021900916,"MAR 03, 2020",WAS @ SAC,L,22,38,0.367,240,41,80,0.513,16,38,0.421,28,34,0.824,2,29,31,28,10,5,14,22,126,WAS,2019-20
1610612764,0021900901,"MAR 01, 2020",WAS @ GSW,W,22,37,0.373,240,40,82,0.488,20,30,0.667,24,27,0.889,5,29,34,24,10,5,13,20,124,WAS,2019-20
1610612764,0021900885,"FEB 28, 2020",WAS @ UTA,L,21,37,0.362,240,45,98,0.459,14,37,0.378,15,21,0.714,13,28,41,23,12,4,11,20,119,WAS,2019-20
1610612764,0021900866,"FEB 26, 2020",WAS vs. BKN,W,21,36,0.368,240,41,96,0.427,15,39,0.385,13,16,0.813,9,30,39,22,9,2,11,26,110,WAS,2019-20
1610612764,0021900851,"FEB 24, 2020",WAS vs. MIL,L,20,36,0.357,265,47,98,0.48,15,35,0.429,25,33,0.758,6,35,41,27,8,0,17,27,134,WAS,2019-20
1610612764,0021900845,"FEB 23, 2020",WAS @ CHI,L,20,35,0.364,240,37,73,0.507,12,30,0.4,31,36,0.861,7,27,34,24,15,3,24,27,117,WAS,2019-20
1610612764,0021900827,"FEB 21, 2020",WAS vs. CLE,L,20,34,0.37,240,41,106,0.387,9,37,0.243,17,23,0.739,17,30,47,24,12,3,11,26,108,WAS,2019-20
1610612764,0021900811,"FEB 12, 2020",WAS @ NYK,W,20,33,0.377,240,40,84,0.476,10,28,0.357,24,33,0.727,6,34,40,25,13,7,13,21,114,WAS,2019-20
1610612764,0021900803,"FEB 11, 2020",WAS vs. CHI,W,19,33,0.365,240,48,89,0.539,11,32,0.344,19,24,0.792,9,35,44,28,11,6,17,16,126,WAS,2019-20
1610612764,0021900789,"FEB 09, 2020",WAS vs. MEM,L,18,33,0.353,240,35,100,0.35,7,33,0.212,22,29,0.759,9,41,50,25,7,4,7,22,99,WAS,2019-20
1610612764,0021900770,"FEB 07, 2020",WAS vs. DAL,W,18,32,0.36,240,45,90,0.5,19,38,0.5,10,13,0.769,8,31,39,28,8,4,13,19,119,WAS,2019-20
1610612764,0021900744,"FEB 03, 2020",WAS vs. GSW,L,17,32,0.347,240,42,83,0.506,9,22,0.409,24,29,0.828,2,33,35,28,6,4,11,24,117,WAS,2019-20
1610612764,0021900731,"FEB 01, 2020",WAS vs. BKN,W,17,31,0.354,240,44,100,0.44,9,32,0.281,16,26,0.615,18,33,51,21,9,8,9,20,113,WAS,2019-20
